,gene,standard_drug_name,dataset,cancer_type,effect size,pvalue,n_mut,n_wt
800,AACS,IRAK4_4710,All,pancan,0.107826,0.914134,28,696
801,AACS,WEHI-539,All,pancan,0.735449,0.462066,26,721
802,AACS,BRD-A02303741:carboplatin (1:1 mol/mol),All,pancan,-0.0963345,0.923255,20,665
803,AACS,ML100,All,pancan,-0.228294,0.819418,10,105
804,AACS,PHA-665752,All,pancan,0.895108,0.370729,25,729
805,AACS,MK-1775,All,pancan,-1.03221,0.301975,36,984
806,AACS,ERK_2440,All,pancan,-1.59067,0.111685,28,696
807,AACS,YL54,All,pancan,0.145758,0.884112,19,628
808,AACS,R428,All,pancan,0.055723,0.955562,10,486
809,AACS,AC55649,All,pancan,-0.402547,0.687281,24,692
810,AACS,BRD-K02251932,All,pancan,0.832309,0.405235,19,626
811,AACS,Lestaurtinib,All,pancan,-0.836102,0.403098,35,908
812,AACS,NVP-ADW742,All,pancan,0.305369,0.760085,35,962
813,AACS,DBeQ,All,pancan,0.547071,0.58433,22,669
814,AACS,AZD1480,All,pancan,-1.04772,0.294769,35,975
815,AACS,PAC-1,All,pancan,2.29856,0.0215299,41,1040
816,AACS,doxorubicin:navitoclax (2:1 mol/mol),All,pancan,-0.756148,0.44956,20,679
817,AACS,JQ-1:navitoclax (2:1 mol/mol),All,pancan,-0.568766,0.569515,22,682
818,AACS,lonidamine,All,pancan,2.37387,0.0176027,11,200
819,AACS,TTK_3146,All,pancan,-0.0717079,0.942834,34,894
820,AACS,fluvastatin,All,pancan,-0.922603,0.356214,21,663
821,AACS,AZD7762,All,pancan,-1.31515,0.18846,40,1095
822,AACS,sitagliptin,All,pancan,0.298972,0.764962,11,181
823,AACS,3-chloro-L-alanine,All,pancan,-0.159007,0.873663,11,201
824,AACS,Dactinomycin,All,pancan,-1.36715,0.171578,30,766
825,AACS,NSC48300,All,pancan,-0.141659,0.887349,22,682
826,AACS,SB216763,All,pancan,1.87856,0.060305,31,834
827,AACS,PD318088,All,pancan,-1.17514,0.239937,22,695
828,AACS,Repligen 136,All,pancan,0.816875,0.414,20,605
829,AACS,BRD-K96431673,All,pancan,-1.3992,0.161753,10,195
830,AACS,azacitidine,All,pancan,-0.125814,0.899879,21,647
831,AACS,CI-976,All,pancan,-0.40882,0.682671,23,686
832,AACS,selumetinib:GDC-0941 (4:1 mol/mol),All,pancan,-1.27473,0.202405,22,674
833,AACS,selumetinib:decitabine (4:1 mol/mol),All,pancan,-0.951417,0.341393,16,626
834,AACS,vorinostat:navitoclax (4:1 mol/mol),All,pancan,-0.318532,0.750082,19,645
835,AACS,PRL-3 Inhibitor I,All,pancan,0.160525,0.872467,24,688
836,AACS,cytosporone B,All,pancan,1.4664,0.142539,11,201
837,AACS,nifedipine,All,pancan,-0.875802,0.381138,11,201
838,AACS,BRD-K80183349,All,pancan,1.01546,0.309886,21,668
839,AACS,carboplatin:UNC0638 (2:1 mol/mol),All,pancan,1.21456,0.224536,20,635
840,AACS,Torin 2,All,pancan,-0.969385,0.332353,35,884
841,AACS,GW441756,All,pancan,0.262468,0.792961,35,908
842,AACS,BRD-K34222889,All,pancan,-0.0891384,0.928972,21,676
843,AACS,GSK2606414,All,pancan,-1.09024,0.275607,28,696
844,AACS,Sinularin,All,pancan,-1.02389,0.305889,28,696
845,AACS,Flavopiridol,All,pancan,-1.61779,0.105709,35,874
846,AACS,Irinotecan,All,pancan,0.219033,0.826625,30,848
847,AACS,tyrphostin AG-1478,All,pancan,0.157386,0.874941,10,106
848,AACS,GSK319347A,All,pancan,-0.337176,0.735985,16,382
849,AACS,AICA Ribonucleotide,All,pancan,0.768429,0.442232,35,908
850,AACS,PRIMA-1,All,pancan,0.179531,0.857521,24,669
851,AACS,Fedratinib,All,pancan,-0.533676,0.593566,41,1072
852,AACS,BRD-K92856060,All,pancan,-1.63013,0.103074,20,642
853,AACS,JQ-1:MK-0752 (1:1 mol/mol),All,pancan,0.409823,0.681936,20,653
854,AACS,BRD-K13185470,All,pancan,-0.4527,0.650765,10,193
855,AACS,CP466722,All,pancan,-0.753407,0.451205,35,881
856,AACS,BRD-K70511574,All,pancan,-0.0173673,0.986144,22,669
857,AACS,bardoxolone methyl,All,pancan,0.0520805,0.958465,18,602
858,AACS,KX2-391,All,pancan,-0.163216,0.870349,23,663
859,AACS,HC-067047,All,pancan,-0.0947652,0.924501,18,654
860,AACS,TKI258,All,pancan,0.916143,0.359592,13,444
861,AACS,GSK461364,All,pancan,0.0625371,0.950135,21,666
862,AACS,Luminespib,All,pancan,-0.67853,0.497436,34,909
863,AACS,HG6-64-1,All,pancan,-0.69988,0.484002,32,849
864,AACS,Linifanib,All,pancan,-1.2299,0.218735,40,1073
865,AACS,LDN-193189,All,pancan,0.249513,0.802964,37,909
866,AACS,phloretin,All,pancan,0.479521,0.631568,24,691
867,AACS,DG-041,All,pancan,1.59795,0.110053,11,199
868,AACS,I-BET-762,All,pancan,-0.631527,0.527696,41,1086
869,AACS,XL765,All,pancan,-0.245309,0.806217,20,659
870,AACS,WIKI4,All,pancan,1.03425,0.301017,26,721
871,AACS,Afatinib,All,pancan,-1.20025,0.230044,40,1074
872,AACS,Fludarabine,All,pancan,-1.14185,0.253516,28,696
873,AACS,CGP-082996,All,pancan,-0.193983,0.846189,16,380
874,AACS,UMI-77,All,pancan,-0.708621,0.478559,26,721
875,AACS,CUDC-101,All,pancan,-2.01796,0.0435955,34,875
876,AACS,IU1,All,pancan,-1.44359,0.148854,21,657
877,AACS,selumetinib:tretinoin (2:1 mol/mol),All,pancan,-1.5792,0.11429,21,659
878,AACS,Taselisib,All,pancan,-0.488024,0.625533,30,770
879,AACS,ML030,All,pancan,0.68421,0.493843,24,710
880,AACS,Compound 110,All,pancan,0.981807,0.326195,11,201
881,AACS,PIK-75,All,pancan,-2.22863,0.0258388,11,201
882,AACS,Etoposide,All,pancan,-1.25773,0.20849,41,1058
883,AACS,Salubrinal,All,pancan,-0.452728,0.650744,16,378
884,AACS,Talazoparib,All,pancan,-0.46023,0.645351,36,910
885,AACS,TAK-715,All,pancan,-0.959266,0.337425,35,881
886,AACS,L-685458,All,pancan,-0.0617361,0.950773,24,755
887,AACS,FGFR_3831,All,pancan,0.0612777,0.951138,34,894
888,AACS,LY2109761,All,pancan,-1.94271,0.0520509,28,696
889,AACS,NG-25,All,pancan,-0.58922,0.555714,34,877
890,AACS,BRD-K58730230,All,pancan,-1.42493,0.154179,11,192
891,AACS,cytarabine hydrochloride,All,pancan,1.16299,0.244834,21,681
892,AACS,Zoledronate,All,pancan,-0.00184318,0.998529,28,696
893,AACS,AA-COCF3,All,pancan,-0.658151,0.510441,24,701
894,AACS,BIBF-1120,All,pancan,0.791481,0.428664,35,884
895,AACS,BIX02189,All,pancan,-2.05662,0.0397224,34,877
896,AACS,AGI-5198,All,pancan,-0.774303,0.438752,26,721
897,AACS,JAK_8517,All,pancan,-0.188926,0.850151,28,696
898,AACS,Staurosporine,All,pancan,0.961804,0.336148,32,812
899,AACS,Tretinoin,All,pancan,-0.526433,0.598587,40,1094
900,AACS,kb NB 142-70,All,pancan,-0.6376,0.523734,35,884
901,AACS,NPK76-II-72-1,All,pancan,0.0710784,0.943335,34,877
902,AACS,parbendazole,All,pancan,-0.206941,0.836056,24,712
903,AACS,trifluoperazine,All,pancan,-0.663962,0.506715,23,649
904,AACS,BRD-K99584050,All,pancan,-0.583378,0.559639,14,356
905,AACS,CIL55A,All,pancan,-0.374121,0.708315,18,390
906,AACS,Ispinesib Mesylate,All,pancan,-1.60812,0.10781,35,881
907,AACS,VE-822,All,pancan,-1.00822,0.313349,28,696
908,AACS,ZM447439,All,pancan,-1.44009,0.149841,35,908
909,AACS,GSK690693,All,pancan,-0.267109,0.789385,34,879
910,AACS,myriocin,All,pancan,0.327076,0.743611,14,270
911,AACS,ursolic acid,All,pancan,1.69189,0.0906661,10,106
912,AACS,Bleomycin (10 uM),All,pancan,-0.868017,0.385385,34,895
913,AACS,BIX-01294,All,pancan,-0.428364,0.668386,23,698
914,AACS,JNJ38877605,All,pancan,0.224004,0.822754,35,884
915,AACS,AZD6482,All,pancan,-0.730556,0.46505,41,1090
916,AACS,SB-431542,All,pancan,0.869988,0.384307,21,669
917,AACS,MIM1,All,pancan,-1.30148,0.193094,35,911
918,AACS,CHEMBL374350,All,pancan,-1.22579,0.220278,24,666
919,AACS,ISOX,All,pancan,-0.184795,0.85339,22,684
920,AACS,LFM-A13,All,pancan,1.95581,0.0504871,35,873
921,AACS,tanespimycin:gemcitabine (1:1 mol/mol),All,pancan,0.520181,0.602938,22,663
922,AACS,I-BET151,All,pancan,0.403175,0.686819,21,695
923,AACS,EPZ5676,All,pancan,-1.39386,0.163359,30,766
924,AACS,Motesanib,All,pancan,-0.67502,0.499663,35,906
